customer_id,age_bucket,gender,city,purchase_history_orders,aov_value_rupees,review_sentiment,loyalty_score,uses_coupons,peak_buy_month_span,seasonal_trend,conversion_rate_bucket,online_preference_1_online_0_offline,payment_1_cod_0_upi,top3_apparel_types,major_products_bought_together,discount_clicks,return_ratio,persona
1,25-34,M,Mumbai,19,2573,moderate,0,0,Mar-Apr,Winter,30-50,1,1,"ethnic,pants,athleisure",ethnic and innerwear,0.0,11,ethnic desi
2,60+,M,Mumbai,5,3576,moderate,0,0,Jan-Feb,Spring,>50,1,1,"ethnic,shirts,athleisure",athleisure and shirt,0.0,10,formals buyer
3,35-46,F,Hyderabad,8,1485,moderate,1,0,May-Jun,New Year,>50,1,1,"innerwear,belts,ethnic",ethnic and innerwear,0.0,2,ethnic desi
4,25-34,F,Mumbai,7,889,good,0,0,Sep-Oct,Winter,>50,1,0,"pants,innerwear,athleisure",pants and belt,0.0,16,formals buyer
5,16-24,F,Mumbai,14,1209,bad,1,0,Mar-Apr,Winter,30-50,1,1,"athleisure,shirts,ethnic",ethnic and innerwear,0.0,53,ethnic desi
6,16-24,F,Hyderabad,3,3118,good,0,0,May-Jun,Winter,<10,1,1,"innerwear,polo,belts",shirt and polo,0.0,8,formals buyer
7,16-24,F,Delhi,18,1971,good,0,0,Jul-Aug,New Year,10-30,1,0,"athleisure,shirts,ethnic",athleisure and shirt,0.0,17,formals buyer
8,46-60,F,Hyderabad,16,1253,good,1,0,Jan-Feb,Diwali,30-50,1,1,"innerwear,belts,shirts",,0.0,0,sports buyer
9,35-46,M,Mumbai,19,2693,moderate,0,1,May-Jun,Spring,30-50,1,0,"belts,ethnic,athleisure",ethnic and innerwear,0.0,6,ethnic desi
10,35-46,M,Delhi,19,1911,bad,1,1,May-Jun,Spring,30-50,1,0,"pants,athleisure,innerwear",,0.0,14,sports buyer
11,16-24,M,Mumbai,18,3332,good,0,0,Sep-Oct,Diwali,10-30,1,1,"ethnic,innerwear,belts",,0.0,36,sports buyer
12,60+,F,Mumbai,20,1772,bad,0,1,May-Jun,Spring,10-30,1,0,"ethnic,pants,belts",ethnic and innerwear,0.0,2,ethnic desi
13,46-60,F,Hyderabad,16,1025,bad,1,1,Sep-Oct,Diwali,>50,1,0,"pants,innerwear,ethnic",ethnic and innerwear,0.0,2,ethnic desi
14,16-24,M,Mumbai,8,1985,good,1,0,Jan-Feb,New Year,>50,1,1,"polo,pants,athleisure",athleisure and shirt,0.0,21,formals buyer
15,16-24,F,Delhi,1,2560,good,0,1,Jan-Feb,New Year,10-30,1,1,"athleisure,polo,shirts",2 or more shirts,0.0,54,formals buyer
16,16-24,F,Delhi,17,3450,good,1,0,Jul-Aug,Spring,30-50,1,0,"shirts,pants,belts",2 or more shirts,0.0,10,formals buyer
17,25-34,M,Mumbai,12,2931,bad,1,0,Sep-Oct,New Year,30-50,0,1,"athleisure,innerwear,belts",,0.0,54,sports buyer
18,25-34,F,Hyderabad,11,1055,good,1,0,Sep-Oct,Winter,10-30,0,0,"pants,polo,shirts",shirt and polo,0.0,16,formals buyer
19,25-34,F,Mumbai,5,3434,moderate,0,0,Mar-Apr,Spring,30-50,0,0,"innerwear,pants,polo",shirt and pants,0.0,10,formals buyer
20,25-34,M,Delhi,12,3970,good,0,1,Mar-Apr,Spring,30-50,1,1,"belts,athleisure,pants",athleisure and shirt,0.0,91,formals buyer
21,35-46,F,Hyderabad,17,518,moderate,1,0,Jul-Aug,Winter,30-50,0,0,"athleisure,shirts,innerwear",,0.0,1,sports buyer
22,16-24,M,Delhi,6,1074,good,1,0,Jan-Feb,Spring,30-50,1,1,"pants,innerwear,ethnic",,0.0,8,sports buyer
23,25-34,F,Hyderabad,1,3298,moderate,1,0,Nov-Dec,Winter,<10,1,0,"ethnic,belts,pants",,0.0,50,sports buyer
24,25-34,F,Mumbai,5,1503,bad,1,0,Mar-Apr,Diwali,<10,1,1,"polo,belts,ethnic",ethnic and innerwear,0.0,55,ethnic desi
25,25-34,F,Delhi,14,2966,bad,0,1,May-Jun,New Year,<10,0,0,"pants,belts,ethnic",pants and belt,0.0,13,formals buyer
26,35-46,M,Mumbai,5,3908,bad,0,0,Jan-Feb,Diwali,10-30,1,0,"innerwear,pants,polo",,0.0,8,sports buyer
27,16-24,F,Delhi,1,2966,good,1,1,Nov-Dec,Diwali,30-50,0,0,"shirts,belts,pants",,0.0,49,sports buyer
28,25-34,F,Hyderabad,18,2438,moderate,0,0,May-Jun,Winter,10-30,1,0,"pants,polo,belts",,0.0,17,sports buyer
29,25-34,M,Mumbai,16,2439,good,0,0,Sep-Oct,Diwali,<10,1,0,"ethnic,belts,pants",ethnic and innerwear,0.0,14,ethnic desi
30,16-24,F,Delhi,9,2135,good,0,1,Jan-Feb,Spring,>50,1,1,"athleisure,polo,ethnic",ethnic and innerwear,0.0,18,ethnic desi
31,35-46,M,Mumbai,19,2198,moderate,0,1,Jul-Aug,Spring,30-50,1,0,"belts,innerwear,shirts",shirt and polo,0.0,22,formals buyer
32,16-24,F,Delhi,5,2669,good,0,1,Sep-Oct,Spring,10-30,1,0,"shirts,belts,pants",shirt and polo,0.0,10,formals buyer
33,16-24,M,Delhi,2,931,moderate,1,0,Sep-Oct,New Year,10-30,1,0,"pants,athleisure,belts",pants and belt,0.0,49,formals buyer
34,46-60,M,Hyderabad,15,2591,bad,1,0,May-Jun,Spring,30-50,1,0,"belts,pants,athleisure",pants and belt,0.0,20,formals buyer
35,60+,M,Delhi,7,2395,good,1,1,Sep-Oct,Diwali,30-50,1,1,"polo,innerwear,athleisure",athleisure and shirt,0.0,17,formals buyer
36,46-60,F,Mumbai,4,2443,moderate,1,0,Mar-Apr,New Year,10-30,1,1,"polo,pants,athleisure",2 or more polo,0.0,27,sports buyer
37,25-34,M,Mumbai,1,1840,good,0,1,Jan-Feb,Spring,30-50,0,1,"innerwear,polo,pants",,0.0,42,sports buyer
38,16-24,F,Mumbai,13,2928,good,0,0,Mar-Apr,Spring,10-30,1,0,"innerwear,pants,polo",shirt and pants,0.0,6,formals buyer
39,35-46,M,Mumbai,20,644,good,0,1,May-Jun,New Year,30-50,1,1,"shirts,pants,ethnic",,0.0,1,sports buyer
40,25-34,M,Mumbai,7,3898,bad,0,0,Nov-Dec,Winter,<10,1,0,"athleisure,polo,pants",athleisure and shirt,0.0,10,formals buyer
41,16-24,M,Hyderabad,15,2910,bad,0,0,May-Jun,New Year,30-50,1,1,"polo,athleisure,belts",,0.0,35,sports buyer
42,25-34,F,Delhi,14,1573,bad,0,0,Jan-Feb,New Year,30-50,0,1,"polo,belts,athleisure",pants and belt,0.0,16,formals buyer
43,16-24,M,Delhi,19,1588,bad,1,0,Sep-Oct,Diwali,>50,0,1,"innerwear,polo,athleisure",shirt and pants,0.0,2,formals buyer
44,46-60,F,Mumbai,20,2902,good,1,0,Jul-Aug,Spring,>50,1,1,"ethnic,polo,pants",,0.0,32,sports buyer
45,25-34,F,Hyderabad,18,1299,good,0,0,May-Jun,Spring,10-30,1,0,"polo,innerwear,athleisure",,0.0,38,sports buyer
46,35-46,F,Delhi,10,3735,moderate,1,0,Jan-Feb,Diwali,30-50,0,1,"belts,pants,athleisure",athleisure and shirt,0.0,14,formals buyer
47,25-34,M,Mumbai,9,3712,good,0,0,Jul-Aug,New Year,30-50,0,1,"belts,ethnic,pants",pants and belt,0.0,8,formals buyer
48,25-34,M,Delhi,8,3373,good,1,0,Sep-Oct,Spring,>50,0,1,"polo,belts,athleisure",athleisure and shirt,0.0,26,formals buyer
49,25-34,F,Delhi,10,1651,good,0,1,Nov-Dec,New Year,10-30,0,0,"shirts,athleisure,belts",shirt and pants,0.0,71,formals buyer
50,16-24,M,Mumbai,17,2945,moderate,0,0,May-Jun,Diwali,10-30,1,0,"shirts,athleisure,polo",shirt and pants,0.0,13,formals buyer
51,60+,F,Delhi,2,2456,moderate,1,1,Nov-Dec,Spring,>50,1,1,"belts,polo,athleisure",athleisure and shirt,0.0,15,formals buyer
52,35-46,M,Delhi,6,3427,good,0,0,Jan-Feb,Diwali,10-30,1,0,"shirts,pants,innerwear",,0.0,43,sports buyer
53,46-60,F,Mumbai,5,962,good,1,0,Nov-Dec,Winter,10-30,1,1,"belts,athleisure,ethnic",athleisure and shirt,0.0,38,formals buyer
54,46-60,F,Hyderabad,9,2274,moderate,0,0,Nov-Dec,Diwali,10-30,1,1,"shirts,polo,innerwear",shirt and pants,0.0,46,formals buyer
55,25-34,F,Hyderabad,5,2545,moderate,0,1,Jan-Feb,Spring,30-50,1,0,"shirts,athleisure,innerwear",athleisure and shirt,0.0,8,formals buyer
56,46-60,M,Delhi,18,1307,good,0,1,Jan-Feb,New Year,10-30,1,1,"ethnic,pants,polo",ethnic and innerwear,0.0,19,ethnic desi
57,16-24,F,Delhi,20,686,moderate,0,0,May-Jun,Winter,>50,1,0,"innerwear,shirts,pants",,0.0,28,sports buyer
